rank,name,release year,rating
1,The Shawshank Redemption,1994,9.3
2,The Godfather,1972,9.2
3,The Dark Knight,2008,9.0
4,The Godfather Part II,1974,9.0
5,12 Angry Men,1957,9.0
6,Schindler's List,1993,9.0
7,The Lord of the Rings: The Return of the King,2003,9.0
8,Pulp Fiction,1994,8.9
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8
10,"Il buono, il brutto, il cattivo",1966,8.8
11,Forrest Gump,1994,8.8
12,Fight Club,1999,8.8
13,The Lord of the Rings: The Two Towers,2002,8.8
14,Inception,2010,8.8
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
16,The Matrix,1999,8.7
17,Goodfellas,1990,8.7
18,One Flew Over the Cuckoo's Nest,1975,8.7
19,Spider-Man: Across the Spider-Verse,2023,8.7
20,Se7en,1995,8.6
21,It's a Wonderful Life,1946,8.6
22,Shichinin no samurai,1954,8.6
23,The Silence of the Lambs,1991,8.6
24,Interstellar,2014,8.7
25,Saving Private Ryan,1998,8.6
26,Cidade de Deus,2002,8.6
27,La vita è bella,1997,8.6
28,The Green Mile,1999,8.6
29,Star Wars,1977,8.6
30,Terminator 2: Judgment Day,1991,8.6
31,Back to the Future,1985,8.5
32,Sen to Chihiro no kamikakushi,2001,8.6
33,The Pianist,2002,8.5
34,Psycho,1960,8.5
35,Gisaengchung,2019,8.5
36,Gladiator,2000,8.5
37,The Lion King,1994,8.5
38,Léon,1994,8.5
39,American History X,1998,8.5
40,The Departed,2006,8.5
41,Whiplash,2014,8.5
42,The Prestige,2006,8.5
43,Oppenheimer,2023,8.6
44,The Usual Suspects,1995,8.5
45,Hotaru no haka,1988,8.5
46,Seppuku,1962,8.6
47,Casablanca,1942,8.5
48,Intouchables,2011,8.5
49,Modern Times,1936,8.5
50,Nuovo Cinema Paradiso,1988,8.5
51,C'era una volta il West,1968,8.5
52,Rear Window,1954,8.5
53,Alien,1979,8.5
54,City Lights,1931,8.5
55,Apocalypse Now,1979,8.4
56,Memento,2000,8.4
57,Django Unchained,2012,8.5
58,Raiders of the Lost Ark,1981,8.4
59,WALL·E,2008,8.4
60,Das Leben der Anderen,2006,8.4
61,Sunset Blvd,1950,8.4
62,Paths of Glory,1957,8.4
63,Avengers: Infinity War,2018,8.4
64,The Shining,1980,8.4
65,The Great Dictator,1940,8.4
66,Witness for the Prosecution,1957,8.4
67,Spider-Man: Into the Spider-Verse,2018,8.4
68,Alien 2,1986,8.4
69,The Dark Knight Rises,2012,8.4
70,Inglourious Basterds,2009,8.3
71,American Beauty,1999,8.3
72,Dr,1964,8.4
73,Oldeuboi,2003,8.4
74,Coco,2017,8.4
75,Amadeus,1984,8.4
76,Toy Story,1995,8.3
77,Das Boot,1981,8.4
78,Braveheart,1995,8.3
79,Avengers: Endgame,2019,8.4
80,Joker,2019,8.4
81,Mononoke-hime,1997,8.3
82,Good Will Hunting,1997,8.3
83,Once Upon a Time in America,1984,8.3
84,Kimi no na wa,2016,8.4
85,3 Idiots,2009,8.4
86,Tengoku to jigoku,1963,8.4
87,Singin' in the Rain,1952,8.3
88,Requiem for a Dream,2000,8.3
89,Capharnaüm,2018,8.4
90,Toy Story 3,2010,8.3
91,Idi i smotri,1985,8.4
92,Star Wars: Episode VI - Return of the Jedi,1983,8.3
93,Eternal Sunshine of the Spotless Mind,2004,8.3
94,2001: A Space Odyssey,1968,8.3
95,Jagten,2012,8.3
96,Reservoir Dogs,1992,8.3
97,Ikiru,1952,8.3
98,Lawrence of Arabia,1962,8.3
99,Citizen Kane,1941,8.3
100,M - Eine Stadt sucht einen Mörder,1931,8.3
101,The Apartment,1960,8.3
102,North by Northwest,1959,8.3
103,Vertigo,1958,8.3
104,Double Indemnity,1944,8.3
105,Le fabuleux destin d'Amélie Poulain,2001,8.3
106,Scarface,1983,8.3
107,Full Metal Jacket,1987,8.3
108,A Clockwork Orange,1971,8.3
109,Incendies,2010,8.3
110,Heat,1995,8.3
111,Hamilton,2020,8.3
112,Up,2009,8.3
113,To Kill a Mockingbird,1962,8.3
114,The Sting,1973,8.3
115,Jodaeiye Nader az Simin,2011,8.3
116,Indiana Jones and the Last Crusade,1989,8.2
117,Metropolis,1927,8.3
118,Die Hard,1988,8.2
119,L,1997,8.2
120,Ladri di biciclette,1948,8.3
121,Snatch,2000,8.2
122,Taare Zameen Par,2007,8.3
123,Taxi Driver,1976,8.2
124,1917,2019,8.2
125,Der Untergang,2004,8.2
126,Dangal,2016,8.3
127,Top Gun: Maverick,2022,8.3
128,Per qualche dollaro in più,1965,8.2
129,Batman Begins,2005,8.2
130,Some Like It Hot,1959,8.2
131,The Kid,1921,8.2
132,The Wolf of Wall Street,2013,8.2
133,The Father,2020,8.2
134,Green Book,2018,8.2
135,All About Eve,1950,8.2
136,Judgment at Nuremberg,1961,8.3
137,The Truman Show,1998,8.2
138,There Will Be Blood,2007,8.2
139,Ran,1985,8.2
140,Casino,1995,8.2
141,Shutter Island,2010,8.2
142,El laberinto del fauno,2006,8.2
143,The Sixth Sense,1999,8.2
144,Unforgiven,1992,8.2
145,Jurassic Park,1993,8.2
146,A Beautiful Mind,2001,8.2
147,The Treasure of the Sierra Madre,1947,8.2
148,Yôjinbô,1961,8.2
149,No Country for Old Men,2007,8.2
150,Kill Bill: Vol,2003,8.2
151,Monty Python and the Holy Grail,1975,8.2
152,The Great Escape,1963,8.2
153,The Thing,1982,8.2
154,Rashômon,1950,8.2
155,Finding Nemo,2003,8.2
156,The Elephant Man,1980,8.2
157,Chinatown,1974,8.2
158,Gone with the Wind,1939,8.2
159,Hauru no ugoku shiro,2004,8.2
160,Dial M for Murder,1954,8.2
161,V for Vendetta,2005,8.2
162,Spider-Man: No Way Home,2021,8.2
163,Raging Bull,1980,8.1
164,"Lock, Stock and Two Smoking Barrels",1998,8.1
165,El secreto de sus ojos,2009,8.2
166,Inside Out,2015,8.1
167,Prisoners,2013,8.1
168,"Three Billboards Outside Ebbing, Missouri",2017,8.1
169,The Bridge on the River Kwai,1957,8.1
170,Trainspotting,1996,8.1
171,Fargo,1996,8.1
172,Warrior,2011,8.1
173,Gran Torino,2008,8.1
174,Catch Me If You Can,2002,8.1
175,Tonari no Totoro,1988,8.1
176,Million Dollar Baby,2004,8.1
177,Klaus,2019,8.2
178,Harry Potter and the Deathly Hallows: Part 2,2011,8.1
179,Bacheha-Ye aseman,1997,8.2
180,Blade Runner,1982,8.1
181,12 Years a Slave,2013,8.1
182,Before Sunrise,1995,8.1
183,The Gold Rush,1925,8.1
184,The Grand Budapest Hotel,2014,8.1
185,Ben-Hur,1959,8.1
186,Gone Girl,2014,8.1
187,Barry Lyndon,1975,8.1
188,On the Waterfront,1954,8.1
189,Hacksaw Ridge,2016,8.1
190,In the Name of the Father,1993,8.1
191,The General,1926,8.1
192,Salinui chueok,2003,8.1
193,The Deer Hunter,1978,8.1
194,Smultronstället,1957,8.1
195,Le salaire de la peur,1953,8.2
196,The Third Man,1949,8.1
197,Relatos salvajes,2014,8.1
198,Sherlock Jr,1924,8.2
199,Mad Max: Fury Road,2015,8.1
200,Dead Poets Society,1989,8.1
201,Mr,1939,8.1
202,"Monsters, Inc",2001,8.1
203,How to Train Your Dragon,2010,8.1
204,Jaws,1975,8.1
205,Mary and Max,2009,8.1
206,Det sjunde inseglet,1957,8.1
207,Room,2015,8.1
208,Ford v Ferrari,2019,8.1
209,The Big Lebowski,1998,8.1
210,Tôkyô monogatari,1953,8.1
211,Ratatouille,2007,8.1
212,Rocky,1976,8.1
213,Hotel Rwanda,2004,8.1
214,La passion de Jeanne d'Arc,1928,8.1
215,Logan,2017,8.1
216,Platoon,1986,8.1
217,Spotlight,2015,8.1
218,The Terminator,1984,8.1
219,Jai Bhim,2021,8.8
220,Before Sunset,2004,8.1
221,Rush,2013,8.1
222,Network,1976,8.1
223,Stand by Me,1986,8.1
224,The Best Years of Our Lives,1946,8.1
225,La haine,1995,8.1
226,The Wizard of Oz,1939,8.1
227,Into the Wild,2007,8.1
228,The Exorcist,1973,8.1
229,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1
230,The Incredibles,2004,8.0
231,To Be or Not to Be,1942,8.2
232,Hachi: A Dog's Tale,2009,8.1
233,Groundhog Day,1993,8.0
234,The Grapes of Wrath,1940,8.1
235,Ah-ga-ssi,2016,8.1
236,La battaglia di Algeri,1966,8.1
237,Babam ve Oglum,2005,8.2
238,Amores perros,2000,8.1
239,Rebecca,1940,8.1
240,Cool Hand Luke,1967,8.1
241,The Sound of Music,1965,8.1
242,Pather Panchali,1955,8.2
243,It Happened One Night,1934,8.1
244,The Iron Giant,1999,8.1
245,The Help,2011,8.1
246,Les quatre cents coups,1959,8.1
247,Persona,1966,8.1
248,Life of Brian,1979,8.0
249,Aladdin,1992,8.0
250,Dances with Wolves,1990,8.0
